id,price,desc,numstories,yearbuilt,exteriorfinish,rooftype,basement,totalrooms,bedrooms,bathrooms,fireplaces,sqft,lotarea,zipcode,AvgIncome,Location,DistDowntown
PA10258,432500,SINGLE FAMILY,2,1988,Brick,SHINGLE,1,9,5,2.5,1,4112,11400,15236,46913,NotCity,7.695
PA10261,86000,SINGLE FAMILY,1,1931,Brick,SHINGLE,1,6,3,1.5,1,1080,10336,15037,55863,NotCity,18.97
PA10698,875000,SINGLE FAMILY,1,1950,Stone,SLATE,1,10,3,3,2,3322,23950,15243,60717,NotCity,7.224
PA10417,460000,SINGLE FAMILY,2,1900,Frame,SHINGLE,1,7,3,2,0,2323,1218,15212,26712,PartCity,2.168
PA10452,900000,SINGLE FAMILY,1,1995,Frame,SHINGLE,1,3,1,1,0,1011,496671,15235,41367,PartCity,10.963
PA10419,27000,MOBILE HOME,1,1968,Frame,METAL,1,4,2,1,0,696,14767,15026,69387,NotCity,23.041
PA10230,460000,SINGLE FAMILY,2,1962,Brick,SLATE,1,8,4,3,0,2540,12460,15243,60717,NotCity,7.224
PA10315,80900,SINGLE FAMILY,2,1930,Brick,SHINGLE,1,6,3,2,0,1134,2500,15227,38439,PartCity,6.258
PA10030,42500,ROWHOUSE,2,1900,Frame,SHINGLE,1,4,1,1,0,1024,816,15224,22880,City,4.644
PA10386,1250000,SINGLE FAMILY,2,1998,Stucco,SHINGLE,1,13,4,6,2,6705,87120,15044,95289,NotCity,16.661
PA10224,394000,SINGLE FAMILY,1,2001,Brick,SHINGLE,1,6,3,1.5,0,1980,11848,15225,30625,NotCity,8.932
PA10536,1700000,SINGLE FAMILY,2,1936,Brick,SLATE,1,12,6,6.5,2,7622,166573,15238,67370,NotCity,11.876
PA10582,121325,SINGLE FAMILY,2,1993,Frame,SHINGLE,1,6,3,1,1,2359,9749,15044,95289,NotCity,16.661
PA10906,299900,CONDOMINIUM,1,2006,Brick,SHINGLE,1,7,3,1.5,0,2634,10404,15025,60669,NotCity,13.094
PA10510,89500,SINGLE FAMILY,1,1925,Frame,SHINGLE,1,6,2,1,0,900,5000,15223,33724,NotCity,6.432
